,Car Model,Price,History,Kilometers Driven,Transmission,Insurance,Owner,Fuel Type,Registration,Year of Purchase,Last Service
135,2018 Maruti Vitara Brezza VDI MANUAL,"759,099",Non-Accidental,"54,879 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,GJ-38-B-x-xxxx,October 2018,"54,879km (03 Jan 2022)"
136,2014 Maruti Swift VXI MANUAL,"448,899",Non-Accidental,"65,062 km",MANUAL,Valid upto Jul 2022Third_party,1st Owner,Petrol,GJ-16-B-x-xxxx,May 2014,"65,062km (01 Jan 2022)"
137,2019 Ford Ecosport 1.5TITANIUM TDCI MANUAL,"843,799",Non-Accidental,"49,525 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,GJ-01-K-x-xxxx,January 2019,"49,525km (28 Dec 2021)"
138,2017 Honda WR-V 1.5 i-DTEC S MT MANUAL,"664,799",Non-Accidental,"43,136 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Diesel,GJ-16-B-x-xxxx,April 2017,"43,136km (31 Dec 2021)"
139,2018 Maruti Vitara Brezza ZDI PLUS MANUAL,"781,499",Non-Accidental,"74,911 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,GJ-03-K-x-xxxx,February 2018,"74,911km (12 Nov 2021)"
140,2017 Maruti Vitara Brezza VDI OPT MANUAL,"699,999",Non-Accidental,"94,193 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,GJ-19-A-x-xxxx,February 2017,"94,193km (30 Dec 2021)"
141,2016 Maruti Vitara Brezza ZDI PLUS DUAL TONE MANUAL,"761,399",Non-Accidental,"25,817 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,GJ-01-K-x-xxxx,March 2016,"25,817km (25 Dec 2021)"
142,2016 Maruti Vitara Brezza ZDI PLUS DUAL TONE MANUAL,"754,599",Non-Accidental,"26,090 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,GJ-01-K-x-xxxx,February 2016,"26,090km (15 Dec 2021)"
143,2017 Maruti Vitara Brezza ZDI PLUS DUAL TONE MANUAL,"718,999",Non-Accidental,"93,983 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,GJ-05-R-x-xxxx,September 2017,"93,983km (29 Dec 2021)"
144,2018 Maruti Vitara Brezza VDI MANUAL,"783,099",Non-Accidental,"28,845 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,GJ-01-H-x-xxxx,May 2018,"28,845km (30 Dec 2021)"
145,2019 Maruti Swift VXI MANUAL,"602,699",Non-Accidental,"6,979 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,GJ-01-K-x-xxxx,March 2019,"6,979km (09 Dec 2021)"
146,2018 Maruti Vitara Brezza ZDI+ DUAL TONE AMT ,"917,899",Non-Accidental,"33,072 km",NA,Valid upto Jan 20233rd Party,2nd Owner,Diesel,GJ-19-B-x-xxxx,May 2018,"33,072km (30 Dec 2021)"
147,2017 Maruti Vitara Brezza VDI OPT MANUAL,"688,099",Non-Accidental,"140,277 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,GJ-09-B-x-xxxx,July 2017,"140,277km (02 Nov 2021)"
148,2014 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT MANUAL,"424,899",Non-Accidental,"78,739 km",MANUAL,Valid upto Jul 2022Third_party,1st Owner,Petrol,GJ-01-R-x-xxxx,June 2014,"78,739km (23 Dec 2021)"
149,2014 Honda Brio 1.2 S MT I VTEC MANUAL,"364,999",Non-Accidental,"86,695 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,GJ-02-B-x-xxxx,January 2014,"86,695km (31 Dec 2021)"
150,2019 Hyundai GRAND I10 NIOS Asta Petrol MANUAL,"672,099",Non-Accidental,"25,597 km",MANUAL,Valid upto Sep 2022Zero_Dep,1st Owner,Petrol,GJ-01-K-x-xxxx,July 2019,"25,597km (17 Jan 2022)"
151,2017 Hyundai Eon ERA PLUS MANUAL,"329,999",Non-Accidental,"51,139 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,GJ-12-D-x-xxxx,August 2017,"51,139km (19 Nov 2021)"
152,2018 Maruti Vitara Brezza VDI OPT MANUAL,"790,099",Non-Accidental,"38,375 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,GJ-21-C-x-xxxx,January 2018,"38,375km (03 Jan 2022)"
153,2018 Maruti Baleno ZETA 1.2 K12  MANUAL,"639,899",Non-Accidental,"52,394 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,GJ-05-R-x-xxxx,April 2018,"52,394km (25 Dec 2021)"
